TOB,previous,minn6,maxx6,minn11,maxx11
erosion,erosion,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
accretion,accretion,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
accretion,accretion,mid,low,mid,mid
erosion,erosion,mid,mid,high,low
stable,erosion,mid,mid,high,low
stable,erosion,mid,mid,high,low
erosion,erosion,mid,mid,high,low
erosion,erosion,mid,mid,high,low
erosion,erosion,mid,mid,high,low
erosion,erosion,mid,mid,high,low
erosion,erosion,mid,mid,high,low
stable,erosion,mid,mid,high,low
stable,erosion,mid,mid,high,low
erosion,erosion,mid,mid,high,low
erosion,erosion,mid,mid,high,low
erosion,erosion,mid,mid,high,low
erosion,erosion,mid,mid,high,low
erosion,erosion,mid,mid,high,low
stable,erosion,mid,mid,high,low
stable,erosion,mid,mid,high,low
stable,stable,mid,mid,high,low
stable,erosion,mid,mid,high,low
stable,erosion,mid,mid,high,low
accretion,accretion,mid,mid,high,low
stable,erosion,mid,mid,high,low
stable,erosion,mid,mid,high,low
stable,erosion,mid,mid,high,low
stable,erosion,mid,mid,high,low
stable,erosion,mid,mid,high,low
stable,erosion,mid,mid,high,low
stable,stable,mid,mid,high,low
stable,erosion,mid,mid,high,low
stable,erosion,mid,mid,high,low
stable,erosion,mid,mid,high,low
stable,erosion,mid,mid,high,low
stable,erosion,mid,mid,high,low
erosion,accretion,mid,mid,high,low
erosion,stable,mid,mid,high,low
erosion,stable,mid,mid,high,low
stable,stable,mid,mid,high,low
erosion,erosion,mid,mid,high,low
erosion,erosion,mid,mid,high,low
erosion,erosion,mid,mid,high,low
stable,accretion,mid,mid,high,low
erosion,erosion,mid,mid,high,low
stable,stable,mid,mid,high,low
